cluster,PC1,PC2
1.0,-39.14577934746414,-135.10740283982676
0.0,-39.53310595520721,-135.10159356995575
0.0,-39.5405192280609,-135.10211872454485
0.0,-39.53600208888289,-135.10373807735073
0.0,-39.531614154669725,-135.10808390280226
1.0,-39.21475039637529,-135.0958740222111
0.0,-39.523827233223464,-136.0980892221438
1.0,-39.05381950891484,-136.0952624987547
0.0,-39.51814362823371,-136.1188880616525
1.0,-38.98906139205677,-137.10482973619548
0.0,-39.49147905189045,-137.09806832130312
1.0,-39.127863892016016,-138.10151056193476
0.0,-39.474610975207874,-139.08931025308672
0.0,-39.4595318070647,-139.09193618210728
0.0,-39.47577676392803,-139.0912296945337
0.0,-39.47801430819888,-139.09258558776946
1.0,-38.999505250422644,-139.08411170691653
1.0,-39.02358298244682,-140.08198669333055
1.0,-38.88465255517211,-140.0992150182972
1.0,-38.97221350791869,-140.1253403025303
1.0,-38.99715717782066,-140.1078271315977
1.0,-39.08001449620068,-140.08691358166539
1.0,-39.031427120376875,-140.101577393257
1.0,-39.06366862931031,-140.08579651628145
0.0,-39.462758877562976,-140.0883790944739
0.0,-39.462769309520546,-140.09819909945068
1.0,-38.98391208470864,-140.09453979837494
0.0,-39.45352381212325,-140.1232173326204
0.0,-39.4480237832623,-140.1208219899579
0.0,-39.46049886433205,-140.09215134420378
1.0,-38.997525280817655,-140.08808583953265
1.0,-39.05555951832763,-141.10113570215722
1.0,-38.98129538772997,-141.09524454504
1.0,-39.005836957683506,-141.09952155149344
1.0,-39.19626858679454,-141.08276441473026
1.0,-38.973769427616226,-141.096584426986
0.0,-39.445728453889735,-141.08703926423823
1.0,-38.95464909701208,-141.1022798711072
1.0,-38.87196263314463,-141.09250662376476
1.0,-38.987546530780854,-141.09769771445718
1.0,-38.82650300903369,-141.09429516904873
1.0,-39.05746423087157,-141.09533670884667
1.0,-39.00188326041033,-141.12340470107904
1.0,-38.96171869972501,-141.09676836479076
1.0,-39.04004600261194,-141.10764963032977
1.0,-39.107308077153604,-141.10839030098157
1.0,-38.93411389461258,-141.13363764907044
1.0,-38.978747667534165,-141.11966545718667
1.0,-39.02273359779804,-141.09739995594367
1.0,-39.064184663979646,-141.09891323881453
1.0,-39.0628612750824,-141.09584833512164
